model,description,training_seconds,fit_mae,fit_rmse,fit_r2,holdout_mae,holdout_rmse,holdout_r2,rmse_generalization_gap,non_positive_holdout_predictions
ridge,Regularized linear benchmark,0.3669178999844007,133.23327231524806,585.0978421581659,0.8429638350472441,149.63252526070224,643.5335599365925,0.8221706162062514,58.43571777842658,11
extra_trees,Highly randomized nonlinear trees,71.50287929998012,55.74055956971697,334.3871503875664,0.9487089194603876,156.29749598200843,661.2838752277778,0.8122253377746407,326.8967248402114,0
random_forest,Bagged nonlinear trees,36.35129150003195,71.58547137029818,386.48888010103263,0.9314801041852068,160.26855276318335,655.9234991860221,0.815257207485707,269.4346190849895,0
hist_gradient_boosting,Boosted nonlinear trees,6.6796011999831535,111.14657472682428,459.95081214367724,0.902956719809009,166.6080310855611,652.895965632712,0.8169586991809403,192.94515348903474,0
